country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,20.8,41,50.7,23.9,51.8,44.1,46.5,65.2,155,128,71,54.3,740,589,209,143,106,95.5,56.2,47.9,72.2,68.8,15.4,25,39.3,48.7,66,66.9,77,91.5
Angola,4100,4320,4570,4840,5140,5470,5840,6350,6950,7520,8110,9070,9820,10.8k,12.4k,13k,12.7k,11.8k,9840,7920,6940,6070,5670,5560,5610,5970,6230,6200,6150,6050
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0.14,0.13,0.11,0.1,0.09,0.09,0.08,0.08,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0
Armenia,0,0,0,0,0.01,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,0.13,0.12,0.11,0.1,0.09,0.08,0.07,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0
Burundi,12.1k,12.2k,12.1k,11.2k,11.7k,11.7k,11.3k,11k,11k,10.9k,10.7k,10.5k,10.6k,10.2k,9220,7980,7400,7090,6970,7250,6750,6590,5470,5120,4810,5180,6290,6540,5800,5780
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,4240,4350,4420,4490,4600,4680,4810,4940,5060,5200,5400,6230,6880,7670,8870,9530,9980,10.2k,9870,9310,8830,8390,8610,8550,8100,8510,8530,7960,8220,7660
Burkina Faso,12.9k,13.6k,14.2k,14.8k,15.4k,16k,16.6k,17.2k,17.7k,18.6k,20.7k,22.4k,24.1k,25k,24.6k,24.2k,24k,24k,25.5k,26.2k,26.7k,27k,27.2k,26.4k,24.1k,22.8k,19.9k,17.2k,16.1k,16.4k
Bangladesh,21.8,23.9,19.3,17.4,15.1,11.4,8.7,10.6,10.7,10.6,4.44,4.35,4.4,5.51,5.76,3.2,1.52,1.69,2.89,1.73,2.03,2.08,0.41,0.18,0.45,0.3,0.18,0.16,0.04,0.03
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,0.38,0.1,0.09,0.54,0.05,0.14,0.08,0.06,0.12,0.04,0.02,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,63.5,51.2,51.4,30.7,24.6,13.4,12.3,8.12,4.87,4.81,10.1,2.27,1.58,1.28,0.92,1.35,2.01,1.71,0.93,0.66,1.79,0.55,0.57,0.91,0.44,0.07,0.01,0,0,0
Brazil,1610,1520,1460,1150,1140,1090,769,546,552,574,559,272,197,166,173,204,186,128,68.9,69.3,64.1,51.3,46.2,32.6,21.7,15.8,13.2,16.2,15.6,14.9
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,520,419,348,272,232,171,157,161,119,160,68.5,77.3,79.3,37.2,21.4,17.1,11.9,6.81,3.11,9.88,2.1,1.47,0.43,0.16,0.35,0.21,0.02,0,0,0
Botswana,2.78,3.72,1.28,12.4,6.65,4.75,20.3,26.4,19.3,25.7,22.9,13.1,6.85,4.78,3.57,1.77,4.16,3.61,5.57,5.13,4.63,1.31,0.51,1.17,3.06,0.57,1.51,4.5,4.72,5.67
Central African Republic,1640,1740,1830,1940,2060,2200,2390,2570,2740,2950,3140,3270,3460,3730,3960,4070,4300,4350,4230,4030,3800,3530,3340,3140,2950,2780,2560,2450,2420,2310
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,240,316,305,182,142,133,106,98.5,56.5,82.2,12.1,3.47,5.66,1.76,2.3,2.36,2.03,1.01,0.7,0.48,0.66,0.56,0.01,0,0,0,0,0,0,0
Cote d'Ivoire,15k,15.6k,16.1k,16.5k,16.8k,17k,17.2k,17.5k,17.8k,18k,18.3k,19.6k,20.6k,21.5k,22.4k,22.7k,23.9k,24.4k,24.3k,23.6k,22.2k,20.2k,18.7k,16.2k,14.7k,14.9k,15.4k,15k,13.5k,14k
Cameroon,5660,6160,6660,7140,7560,7980,8480,9020,9570,10.1k,10.5k,11.2k,13.3k,14.7k,15.8k,15.9k,15.2k,14.5k,13.6k,12.8k,12.6k,12k,10.9k,10.7k,10.5k,10.2k,11k,10.7k,10k,9770
"Congo, Dem. Rep.",74.9k,76.5k,77.7k,78.4k,79.5k,80.5k,80.2k,80.2k,80.2k,80.1k,81.2k,82.6k,82.7k,85.3k,86.2k,86.7k,87.1k,87.3k,86k,82.4k,76.8k,71.5k,65.1k,59.1k,55.1k,52.6k,52.1k,50.4k,45.4k,44.1k
"Congo, Rep.",1250,1300,1360,1390,1450,1510,1580,1660,1720,1760,1750,1720,1640,1610,1570,1550,1420,1280,1130,1030,981,1000,990,965,943,884,839,814,792,734
Cook Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,417,646,725,425,324,591,368,549,603,162,244,403,262,196,123,88.8,87.5,94,34.8,33.2,49.3,25.5,37.2,27.4,27.4,29.7,38.6,26,11.6,11.1
Comoros,158,139,75.2,75.3,46,33.2,26.4,26.5,54.8,58.5,45.8,61,64.9,78.8,48.6,31.4,78.4,31.8,27,59.4,112,79.9,81.7,55.7,2.58,1.27,0.88,1.72,11.6,14.7
Cape Verde,0,0,0,0,0,0,0,0,0,0,0.88,0.54,0.37,0.28,0.17,0.23,0.28,0.05,0.1,0.24,0.17,0.04,0,0.04,0.05,0.01,0.16,0.93,1.33,5.28
Costa Rica,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,16.2,38.7,40.5,4.37,33.5,6.08,6.21,23.6,6.08,6.26,4.96,4.66,5.96,37.5,3.9,7.22,24.7,4.02,2.18,18.1,5.85,0.18,0.08,4.73,30,23.4,30,21.4,13.1,13.5
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0.52,0.45,0.66,0.81,1.1,1.13,0.8,0.38,0.75,1.14,0.41,0.29,0.3,0.29,0.36,0.54,0.46,0.41,0.3,0.27,0.49,0.23,0.12,0.05,0.04,0.05,0.05,0.02,0.03,0.03
Algeria,0.23,0.21,0.25,0.24,0.16,0.12,0.09,0.08,0.04,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,218,132,148,186,85.5,35.1,14.6,24.6,138,291,271,186,71.5,29,11.5,3.08,1.75,1.08,0.32,0.4,0.19,0.2,0.04,0.11,0.02,0.08,0.15,0.1,0.09,0.05
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,186,168,133,138,132,77.3,121,120,199,119,84.9,189,42.3,50.5,17.4,28.1,18.8,25,15.4,16.8,50.4,66.7,37.8,27.4,37,28.5,39.4,38.7,40.4,35.7
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,6370,6850,3750,4810,5480,5910,6270,6290,7130,6810,14.2k,22.8k,23.8k,28.9k,35.7k,27.3k,24.4k,20.6k,15.9k,19.9k,20.2k,15.9k,16.2k,16.3k,9140,9060,6910,6560,9040,11.3k
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
