country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,1710,1740,1950,2250,2450,2500,2570,2650,2620,2530,2420,2350,2280,2530,2560,2450,2310,2160,1970,1770,1720,1650,1590,1610,1300,1190,1160,1050,969,953
Angola,2420,2590,2690,2860,2840,2600,2640,2690,2840,2800,2840,2870,2960,2810,2910,2870,2720,2660,2580,2440,2370,2230,2110,1750,1580,1460,1340,1210,1110,1060
Albania,72.4,75.8,74.1,70.3,64.3,56.3,48.6,41.4,36.1,30.2,24.8,20.8,17.5,14.7,12.5,10.7,9.73,8.31,7.31,6.11,5.75,3.61,3.65,3.69,3.69,3.64,3.52,3.34,3.11,2.92
Andorra,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
United Arab Emirates,13.4,9.78,10.9,7.96,7.04,6.15,5.45,5.19,7.02,5.22,5.35,5.44,5.52,5.38,5.05,4.78,4.42,2.67,2.67,2.75,2.8,2.68,2.53,2.4,2.23,2.02,1.84,1.63,1.4,1.22
Argentina,395,378,348,334,304,295,277,240,225,202,185,174,177,175,164,149,143,143,142,141,141,138,105,96.1,94.5,87.8,84.2,76.9,71.3,67.2
Armenia,6.02,5.42,4.99,4.47,3.86,3.63,3.45,3.17,3.27,3.11,3.01,2.72,2.39,2.1,1.89,1.7,1.52,1.37,1.33,1.2,1.12,1.05,1.01,1,0.74,0.66,0.6,0.53,0.48,0.44
American Samoa,0.38,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.34,0.31,0.28,0.28,0.29,0.28,0.27,0.26,0.25,0.23,0.21,0.19,0.18,0.17,0.16,0.15,0.15,0.16,0.16,0.15,0.14,0.13
Antigua and Barbuda,0.57,0.51,0.5,0.5,0.49,0.5,0.5,0.49,0.47,0.45,0.42,0.39,0.36,0.34,0.33,0.31,0.29,0.27,0.25,0.24,0.24,0.23,0.23,0.21,0.2,0.18,0.18,0.17,0.16,0.16
Australia,39.2,36.6,36.4,32.3,30.2,28.8,27.7,26.2,25.4,25.8,23.9,23.7,22.2,22.3,22.3,15.2,14.5,13.8,13.4,13,13,11.9,11.7,10.9,10.3,10.5,9.98,9.64,9.27,8.96
Austria,13.1,12.7,12.6,11,9.75,8.54,10.1,6.81,6.42,5.88,5.66,5.69,5.4,5.56,4.99,4.85,4.64,4.36,4.54,4.49,4.48,3.92,3.5,3.37,3.03,3.05,3.21,3.07,2.94,2.82
Azerbaijan,99.8,93.3,92.2,89.5,98.8,95.6,92.7,93.5,94.9,92.2,84.9,75.1,69.4,67.5,60.3,57.6,53.9,48.9,47.7,46.1,45.1,41.9,39.9,26.8,24.8,23,21.2,19.3,17.7,16.3
Burundi,1080,1050,1210,983,944,928,910,844,830,805,795,805,907,928,901,941,955,944,911,906,953,633,606,614,595,543,473,438,463,450
Belgium,18.4,19.2,19.2,18.8,18.1,16.7,15.2,16,16,16.6,17.1,16.9,15.7,15.1,13.9,14.5,12,11.5,10.1,9.46,9.17,8.69,8.85,8.31,7.46,7.22,6.97,6.51,6.15,5.87
Benin,1560,1600,1550,1560,1690,1570,1570,1630,1680,1660,1870,1890,1850,1880,1980,1910,1890,1910,1870,1950,1980,1510,1560,1500,1470,1480,1490,1430,1310,1240
Burkina Faso,3580,3560,3640,3330,3350,3610,6690,5220,4030,4000,4350,5190,5000,4940,4640,4930,4710,5140,4340,4530,4890,4820,5080,3330,3430,3320,3450,3510,3510,3460
Bangladesh,663,674,703,701,708,735,825,894,949,1180,1480,1430,1460,1730,1860,1990,1960,2030,2030,1650,1470,1260,1010,872,764,447,388,338,291,257
Bulgaria,43.6,42.9,39.5,33.4,40.6,28.9,28.4,28.9,24.4,24.6,22.2,21.8,19.1,19.5,19,17,16.6,16.1,16.2,16.9,11,9.49,8.56,7.99,7.93,6.79,6.23,6.07,5.67,5.27
Bahrain,2.34,2.31,2.22,2.07,1.85,1.59,1.33,1.18,1.06,1,1.03,1.04,0.96,0.97,0.98,1.04,1.13,1.17,0.74,0.67,0.65,0.62,0.63,0.6,0.59,0.56,0.5,0.45,0.4,0.36
Bahamas,2.53,2.64,2.8,2.77,2.58,2.45,2.28,2.17,1.89,1.7,1.49,1.31,1.21,1.13,1.1,1.02,0.94,0.87,0.83,0.82,0.78,0.72,0.6,0.5,0.47,0.45,0.43,0.41,0.39,0.38
Bosnia and Herzegovina,10.7,10,10.2,9.86,9.31,8.63,7.47,6.54,5.76,5.12,4.94,3.9,4.15,3.21,2.86,2.76,2.72,2.49,2.36,2.14,1.91,1.61,1.72,2.01,1.91,2.04,2.01,1.72,1.56,1.39
Belarus,76.6,70,63.2,56.8,54.1,50.2,47,46.4,45.5,43.5,41.5,40.2,38,34.3,31.6,29.4,27.3,25.6,22.5,21.9,19.9,18.4,17.1,15.8,14.9,13.9,13.3,12.3,11.2,10.1
Belize,4.92,4.42,4.01,3.6,3.21,2.96,2.72,2.59,2.48,2.39,2.31,2.02,1.83,1.68,1.6,1.48,1.38,1.28,1.2,1.18,1.12,1.09,1.02,0.97,0.89,0.85,0.84,0.83,0.81,0.8
Bermuda,0.26,0.22,0.2,0.18,0.16,0.14,0.12,0.11,0.09,0.08,0.08,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02
Bolivia,341,331,320,307,295,282,271,259,246,233,210,199,187,177,168,160,153,148,141,135,130,125,121,116,80.2,70.6,64.6,61.5,56.8,53.4
Brazil,5880,5610,5340,5180,4940,4740,4450,4180,3870,3420,3070,2810,2580,2400,2310,2210,1990,1950,1880,1840,1450,1190,1060,914,845,786,739,691,639,595
Barbados,2.07,1.84,1.69,1.5,1.39,1.32,1.24,1.15,1.08,1.02,0.94,0.85,0.79,0.75,0.7,0.67,0.64,0.6,0.58,0.44,0.43,0.42,0.39,0.37,0.35,0.33,0.32,0.31,0.3,0.29
Brunei,1.03,1.07,1.05,1.04,1.02,0.99,0.97,0.92,0.81,0.74,0.7,0.62,0.52,0.48,0.43,0.39,0.36,0.34,0.32,0.31,0.3,0.32,0.33,0.34,0.34,0.34,0.34,0.32,0.32,0.31
Bhutan,64.2,62.6,57.3,53.7,50.4,48.6,50.1,52.2,52,45.3,46.1,43.9,39.3,37.7,34.5,29.7,23.3,28,25.9,23.2,21.4,18.2,15.8,14.7,13.5,12.5,11.4,10.4,9.87,8.96
Botswana,27.3,26.1,23.4,21.7,20.6,19.7,18.8,18.6,21.4,22.8,24.4,26.6,28.7,29.3,30.1,33,38.2,41.2,42,42.8,45.3,42.2,31.7,30,29.7,29.5,28.7,29.1,28.4,27.7
Central African Republic,595,582,586,570,493,502,531,527,576,720,585,816,643,605,595,620,664,761,702,683,729,612,555,565,544,466,442,441,399,384
Canada,40.2,37.6,34.5,36,31.3,27.2,24,25.6,21.1,23.3,23,24.5,22.4,23.6,20.3,20.5,20.5,20.5,19.9,19.3,18.6,16.6,15.6,16.5,16.2,16,15.7,14.5,13.7,13
Switzerland,16.4,14.8,13.1,11.8,10.2,8.64,7.38,6.44,5.57,5.68,5.41,4.18,3.49,2.9,2.71,2.45,2.19,1.92,1.79,1.76,1.58,1.45,1.35,1.36,1.38,1.44,1.31,1.24,1.16,1.11
Chile,134,123,121,112,101,90,80.1,71.2,72.5,66.5,59.2,58.8,50.8,46.4,43.7,39,34.5,33.6,32.5,33.2,31.3,22.8,23.6,19.4,22.1,17.1,15.9,14.5,13.6,12.9
China,25k,24.4k,22.9k,21.3k,19.4k,17.1k,15.1k,12.9k,10.9k,9330,7750,6440,5400,4550,4020,3610,3310,3060,2960,2850,2730,2600,2500,2390,2220,2120,2120,1940,1680,1460
Cote d'Ivoire,1880,1920,1970,2020,2080,2110,2130,2300,2400,2570,2200,2180,2240,2190,2210,2200,2210,2160,2130,2000,1940,1850,1930,1970,1510,1370,1190,1070,1000,925
Cameroon,1400,1460,1500,1710,1380,1370,1420,1520,1720,1710,1610,1660,1990,2050,2000,2040,2090,2080,2120,2200,2280,1720,1590,1580,1550,1390,1400,1320,1240,1180
"Congo, Dem. Rep.",6710,6750,6760,6780,6800,6780,6670,6770,6610,6890,7180,6530,6450,8150,7610,6930,6710,5910,6240,5310,5160,4950,4980,4450,4100,2980,2580,2260,2090,1860
"Congo, Rep.",181,183,186,189,193,196,200,202,202,199,196,191,189,189,179,182,177,174,170,157,148,141,101,91.1,86.3,80,72.9,65.8,60,55.6
Cook Is,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0
Colombia,740,730,731,723,687,632,602,533,474,444,409,381,360,340,320,301,284,261,250,214,189,158,139,127,119,113,102,97.7,92.6,87.3
Comoros,55.8,55.8,56.6,55.5,55.1,53.7,51.9,49.5,46.9,45.2,44.5,43.7,43.3,42.4,43,43,42.6,44.4,44.1,38.7,34.7,34,31.2,28,28.8,26.5,24,22.6,20.4,18.6
