country,2007
Afghanistan,48.8k
Angola,25.6k
Albania,99
United Arab Emirates,26
Argentina,900
Armenia,82
Australia,126
Austria,29
Azerbaijan,639
Burundi,6350
Belgium,59
Benin,3860
Burkina Faso,17.1k
Bangladesh,13.3k
Bulgaria,87
Bahrain,18
Bahamas,10
Bosnia and Herzegovina,46
Belarus,74
Belize,16
Bolivia,1540
Brazil,12.6k
Barbados,5
Brunei,4
Bhutan,136
Botswana,120
Central African Republic,2630
Canada,264
Switzerland,25
Chile,192
China,13.8k
Cote d'Ivoire,6230
Cameroon,10.6k
"Congo, Dem. Rep.",57.8k
"Congo, Rep.",1570
Colombia,1490
Comoros,295
Cape Verde,23
Costa Rica,37
Cuba,50
Cyprus,3
Czech Republic,44
Germany,297
Djibouti,285
Denmark,19
Dominican Republic,779
Algeria,3050
Ecuador,965
Egypt,3480
Eritrea,1590
Spain,239
Estonia,6
Ethiopia,29.9k
Finland,10
Fiji,38
France,342
"Micronesia, Fed. Sts.",12
Gabon,84
United Kingdom,468
Georgia,133
Ghana,3360
Guinea,3660
Gambia,677
Guinea-Bissau,1260
Equatorial Guinea,137
Greece,9
Grenada,1
Guatemala,1760
Guyana,93
Honduras,653
Croatia,15
Haiti,1070
Hungary,61
Indonesia,22.6k
India,84k
Ireland,18
Iran,4050
Iraq,1890
Iceland,2
Israel,55
Italy,223
Jamaica,274
Jordan,243
Japan,304
Kazakhstan,923
Kenya,25.7k
Kyrgyz Republic,600
Cambodia,5540
South Korea,327
Kuwait,63
Lao,1780
Lebanon,64
Liberia,1910
Libya,222
St. Lucia,8
Sri Lanka,546
Lesotho,347
Lithuania,11
Luxembourg,3
Latvia,18
Morocco,1820
Moldova,16
Madagascar,9410
Maldives,16
Mexico,3610
North Macedonia,31
Mali,9830
Malta,4
Myanmar,9780
Montenegro,5
Mongolia,377
Mozambique,9440
Mauritania,1170
Mauritius,30
Malawi,5410
Malaysia,282
Namibia,115
Niger,14.4k
Nigeria,97.8k
Nicaragua,466
Netherlands,54
Norway,27
Nepal,2110
New Zealand,20
Oman,51
Pakistan,26.6k
Panama,248
Peru,1730
Philippines,9200
Papua New Guinea,1610
Poland,221
North Korea,1800
Portugal,29
Paraguay,459
Qatar,11
Romania,55
Russia,506
Rwanda,5180
Saudi Arabia,1140
Sudan,10.9k
Senegal,5760
Singapore,8
Solomon Islands,63
Sierra Leone,5030
El Salvador,313
Somalia,6940
Serbia,87
Sao Tome and Principe,53
Suriname,31
Slovak Republic,33
Slovenia,6
Sweden,21
Eswatini,168
Syria,1130
Chad,9400
Togo,1400
Thailand,791
Tajikistan,1910
Turkmenistan,799
Tonga,7
Trinidad and Tobago,13
Tunisia,314
Turkey,1910
Tanzania,15k
Uganda,15.9k
Ukraine,495
Uruguay,81
United States,3790
Uzbekistan,2530
St. Vincent and the Grenadines,3
Venezuela,666
Vietnam,1410
Vanuatu,23
Samoa,13
Yemen,3140
South Africa,3210
Zambia,9090
Zimbabwe,2130
