country,2007
Afghanistan,1090
Angola,2070
Albania,0
United Arab Emirates,0
Argentina,50
Armenia,0
Australia,0
Austria,0
Azerbaijan,36
Burundi,157
Belgium,2
Benin,1390
Burkina Faso,817
Bangladesh,1730
Bulgaria,0
Bahrain,0
Bahamas,0
Bosnia and Herzegovina,0
Belarus,0
Belize,0
Bolivia,262
Brazil,36
Barbados,0
Brunei,0
Bhutan,7
Botswana,0
Central African Republic,817
Canada,0
Switzerland,0
Chile,15
China,401
Cote d'Ivoire,927
Cameroon,672
"Congo, Dem. Rep.",10.9k
"Congo, Rep.",108
Colombia,18
Comoros,26
Cape Verde,4
Costa Rica,7
Cuba,0
Cyprus,0
Czech Republic,0
Germany,0
Djibouti,21
Denmark,0
Dominican Republic,9
Algeria,421
Ecuador,0
Egypt,155
Eritrea,68
Spain,1
Estonia,0
Ethiopia,3540
Finland,0
Fiji,0
France,1
"Micronesia, Fed. Sts.",0
Gabon,99
United Kingdom,5
Georgia,0
Ghana,605
Guinea,1610
Gambia,26
Guinea-Bissau,283
Equatorial Guinea,150
Greece,0
Grenada,0
Guatemala,312
Guyana,0
Honduras,4
Croatia,0
Haiti,1540
Hungary,0
Indonesia,284
India,86.1k
Ireland,1
Iran,11
Iraq,2330
Iceland,0
Israel,5
Italy,0
Jamaica,1
Jordan,0
Japan,0
Kazakhstan,0
Kenya,1430
Kyrgyz Republic,2
Cambodia,12
South Korea,0
Kuwait,0
Lao,45
Lebanon,4
Liberia,651
Libya,0
St. Lucia,0
Sri Lanka,6
Lesotho,57
Lithuania,0
Luxembourg,0
Latvia,0
Morocco,201
Moldova,0
Madagascar,747
Maldives,0
Mexico,6
North Macedonia,0
Mali,2110
Malta,0
Myanmar,948
Montenegro,0
Mongolia,1
Mozambique,1230
Mauritania,148
Mauritius,0
Malawi,353
Malaysia,9
Namibia,60
Niger,3430
Nigeria,32.4k
Nicaragua,22
Netherlands,0
Norway,0
Nepal,764
New Zealand,1
Oman,0
Pakistan,7180
Panama,25
Peru,0
Philippines,77
Papua New Guinea,63
Poland,0
North Korea,232
Portugal,0
Paraguay,3
Qatar,0
Romania,0
Russia,2
Rwanda,142
Saudi Arabia,0
Sudan,1180
Senegal,350
Singapore,0
Solomon Islands,1
Sierra Leone,1050
El Salvador,0
Somalia,2990
Serbia,0
Sao Tome and Principe,1
Suriname,0
Slovak Republic,0
Slovenia,0
Sweden,0
Eswatini,17
Syria,1
Chad,4270
Togo,164
Thailand,15
Tajikistan,9
Turkmenistan,2
Tonga,0
Trinidad and Tobago,0
Tunisia,0
Turkey,32
Tanzania,1510
Uganda,6470
Ukraine,3
Uruguay,0
United States,37
Uzbekistan,9
St. Vincent and the Grenadines,0
Venezuela,10
Vietnam,44
Vanuatu,0
Samoa,0
Yemen,3410
South Africa,1
Zambia,568
Zimbabwe,1810
