country,2007
Afghanistan,72.7k
Angola,29.9k
Albania,106
United Arab Emirates,8
Argentina,636
Armenia,122
Australia,30
Austria,3
Azerbaijan,1070
Burundi,6710
Belgium,5
Benin,5610
Burkina Faso,19.4k
Bangladesh,19.9k
Bulgaria,148
Bahrain,2
Bahamas,5
Bosnia and Herzegovina,49
Belarus,10
Belize,15
Bolivia,2270
Brazil,5180
Barbados,1
Brunei,1
Bhutan,227
Botswana,102
Central African Republic,4280
Canada,8
Switzerland,3
Chile,105
China,56.4k
Cote d'Ivoire,9030
Cameroon,14.4k
"Congo, Dem. Rep.",88.1k
"Congo, Rep.",2180
Colombia,1760
Comoros,428
Cape Verde,32
Costa Rica,26
Cuba,42
Cyprus,1
Czech Republic,20
Germany,40
Djibouti,347
Denmark,3
Dominican Republic,916
Algeria,3700
Ecuador,851
Egypt,2960
Eritrea,1730
Spain,33
Estonia,1
Ethiopia,39.5k
Finland,5
Fiji,28
France,49
"Micronesia, Fed. Sts.",28
Gabon,240
United Kingdom,114
Georgia,213
Ghana,4110
Guinea,6680
Gambia,707
Guinea-Bissau,1970
Equatorial Guinea,352
Greece,27
Grenada,1
Guatemala,2680
Guyana,121
Honduras,828
Croatia,5
Haiti,3510
Hungary,34
Indonesia,30.7k
India,204k
Ireland,0
Iran,5130
Iraq,5680
Iceland,0
Israel,10
Italy,30
Jamaica,329
Jordan,185
Japan,216
Kazakhstan,1300
Kenya,28.2k
Kyrgyz Republic,842
Cambodia,8540
South Korea,78
Kuwait,18
Lao,2640
Lebanon,38
Liberia,2850
Libya,132
St. Lucia,0
Sri Lanka,369
Lesotho,508
Lithuania,9
Luxembourg,0
Latvia,7
Morocco,2210
Moldova,120
Madagascar,13.3k
Maldives,18
Mexico,3900
North Macedonia,14
Mali,13.6k
Malta,2
Myanmar,14.3k
Montenegro,3
Mongolia,492
Mozambique,14.1k
Mauritania,1790
Mauritius,19
Malawi,6240
Malaysia,98
Namibia,230
Niger,22.5k
Nigeria,161k
Nicaragua,572
Netherlands,12
Norway,0
Nepal,3830
New Zealand,10
Oman,23
Pakistan,52.2k
Panama,192
Peru,1470
Philippines,13.5k
Papua New Guinea,2780
Poland,99
North Korea,3020
Portugal,9
Paraguay,530
Qatar,4
Romania,697
Russia,866
Rwanda,5570
Saudi Arabia,743
Sudan,13.1k
Senegal,6300
Singapore,12
Solomon Islands,114
Sierra Leone,6980
El Salvador,230
Somalia,13.1k
Serbia,40
Sao Tome and Principe,114
Suriname,24
Slovak Republic,42
Slovenia,0
Sweden,8
Eswatini,265
Syria,784
Chad,16.4k
Togo,1930
Thailand,478
Tajikistan,2340
Turkmenistan,1090
Tonga,6
Trinidad and Tobago,17
Tunisia,235
Turkey,2500
Tanzania,22k
Uganda,23.5k
Ukraine,56
Uruguay,48
United States,786
Uzbekistan,3490
St. Vincent and the Grenadines,0
Venezuela,790
Vietnam,980
Vanuatu,44
Samoa,16
Yemen,7390
South Africa,4130
Zambia,10.2k
Zimbabwe,4290
